class_idx,class_name,rank,concept_idx,concept_name,mean_contribution,num_examples
10,Rusty Blackbird,3,589,all black plumage,0.3895679702361425,30
10,Rusty Blackbird,4,343,black legs,0.247255122095036,30
10,Rusty Blackbird,5,3,raucous call,0.0,30
10,Rusty Blackbird,6,7,yellow bill,0.0,30
10,Rusty Blackbird,7,8,small beak,0.0,30
10,Rusty Blackbird,8,1,wingspan of up to 3 5 feet,0.0,30
10,Rusty Blackbird,9,4,fast erratic flight patterns,0.0,30
10,Rusty Blackbird,10,5,red head,0.0,30
11,Yellow headed Blackbird,1,446,yellow head,4.102466023025604,26
11,Yellow headed Blackbird,2,508,long black wings,3.5554519398854327,26
11,Yellow headed Blackbird,3,61,black wings,1.041750397819739,26
11,Yellow headed Blackbird,4,8,small beak,0.0,26
11,Yellow headed Blackbird,5,7,yellow bill,0.0,26
11,Yellow headed Blackbird,6,3,raucous call,0.0,26
11,Yellow headed Blackbird,7,1,wingspan of up to 3 5 feet,0.0,26
11,Yellow headed Blackbird,8,4,fast erratic flight patterns,0.0,26
11,Yellow headed Blackbird,9,9,rusty brown feathers,0.0,26
11,Yellow headed Blackbird,10,5,red head,0.0,26
12,Bobolink,1,661,black v on the back,2.3282060027122498,30
12,Bobolink,2,217,black and white striped head,1.7919873541841904,30
12,Bobolink,3,207,black head and back,0.9406349579493205,30
12,Bobolink,4,93,white throat and belly,0.7254546937222283,30
12,Bobolink,5,504,small round body,0.4830635005608201,30
12,Bobolink,6,418,black back,0.4038814023137093,30
12,Bobolink,7,399,small sparrow like bird,0.026270157572192452,30
12,Bobolink,8,7,yellow bill,0.0,30
12,Bobolink,9,3,raucous call,0.0,30
12,Bobolink,10,8,small beak,0.0,30
13,Indigo Bunting,1,192,thin pointed beak,2.6820265968640644,30
13,Indigo Bunting,2,474,white streaks on the wings,2.230622323354085,30
13,Indigo Bunting,3,659,short beak,1.228400973478953,30
13,Indigo Bunting,4,612,blue plumage,0.7879252731800079,30
13,Indigo Bunting,5,299,small bird,0.7423623810211818,30
13,Indigo Bunting,6,667,blue body,0.6449577778577804,30
13,Indigo Bunting,7,7,yellow bill,0.0,30
13,Indigo Bunting,8,3,raucous call,0.0,30
13,Indigo Bunting,9,8,small beak,0.0,30
13,Indigo Bunting,10,1,wingspan of up to 3 5 feet,0.0,30
14,Lazuli Bunting,1,258,small blue bird,2.786491755928312,28
14,Lazuli Bunting,2,278,thin black bill,2.7471787120614732,28
14,Lazuli Bunting,3,36,blue wings with white bars,2.194154305117471,28
14,Lazuli Bunting,4,308,black collar,1.275257136140551,28
14,Lazuli Bunting,5,33,white chest and belly,0.33985473800982746,28
14,Lazuli Bunting,6,627,black line through the eye,0.31058684550225735,28
14,Lazuli Bunting,7,107,white wing bar,0.2834683603474072,28
14,Lazuli Bunting,8,7,yellow bill,0.0,28
14,Lazuli Bunting,9,3,raucous call,0.0,28
14,Lazuli Bunting,10,8,small beak,0.0,28
15,Painted Bunting,1,92,short pointed beak,3.5008640715054105,28
15,Painted Bunting,2,600,blue head,2.679356873035431,28
15,Painted Bunting,3,251,green back,1.2465036266616412,28
15,Painted Bunting,4,53,short stout bill,0.6355760137417487,28
15,Painted Bunting,5,34,small songbird,0.33517465367913246,28
15,Painted Bunting,6,7,yellow bill,0.0,28
15,Painted Bunting,7,3,raucous call,0.0,28
15,Painted Bunting,8,8,small beak,0.0,28
15,Painted Bunting,9,1,wingspan of up to 3 5 feet,0.0,28
15,Painted Bunting,10,4,fast erratic flight patterns,0.0,28
16,Cardinal,1,363,red feathers,2.4991694732948586,27
16,Cardinal,2,636,black eyes,1.875594910648134,27
16,Cardinal,3,181,red body,1.7578188644515143,27
16,Cardinal,4,19,black face,1.7100781400998433,27
16,Cardinal,5,28,red crest on the head,0.68324785762363,27
16,Cardinal,6,7,yellow bill,0.0,27
16,Cardinal,7,3,raucous call,0.0,27
16,Cardinal,8,8,small beak,0.0,27
16,Cardinal,9,1,wingspan of up to 3 5 feet,0.0,27
16,Cardinal,10,4,fast erratic flight patterns,0.0,27
17,Spotted Catbird,1,503,gray body with black spots,4.411059153079987,15
17,Spotted Catbird,2,317,small rounded body,1.9600570013125738,15
17,Spotted Catbird,3,431,gray upperparts,0.40430597892651954,15
17,Spotted Catbird,4,8,small beak,0.0,15
17,Spotted Catbird,5,7,yellow bill,0.0,15
17,Spotted Catbird,6,3,raucous call,0.0,15
17,Spotted Catbird,7,1,wingspan of up to 3 5 feet,0.0,15
17,Spotted Catbird,8,4,fast erratic flight patterns,0.0,15
17,Spotted Catbird,9,9,rusty brown feathers,0.0,15
17,Spotted Catbird,10,5,red head,0.0,15
18,Gray Catbird,1,499,long flowing tail,2.638730444784822,29
18,Gray Catbird,2,88,small mouth,2.1615985968503457,29
18,Gray Catbird,3,383,gray feathers,0.8791300325558103,29
18,Gray Catbird,4,85,gray plumage,0.5565738266912,29
18,Gray Catbird,5,3,raucous call,0.0,29
18,Gray Catbird,6,7,yellow bill,0.0,29
18,Gray Catbird,7,8,small beak,0.0,29
18,Gray Catbird,8,1,wingspan of up to 3 5 feet,0.0,29
18,Gray Catbird,9,4,fast erratic flight patterns,0.0,29
18,Gray Catbird,10,9,rusty brown feathers,0.0,29
19,Yellow breasted Chat,1,171,black patch on the back,3.3628122289975484,15
19,Yellow breasted Chat,2,643,black throat,1.692340519403418,15
19,Yellow breasted Chat,3,38,black tail,1.3075719098250072,15
19,Yellow breasted Chat,4,25,black head,0.5705970986435811,15
19,Yellow breasted Chat,5,354,white throat,0.09673025459051132,15
19,Yellow breasted Chat,6,7,yellow bill,0.0,15
19,Yellow breasted Chat,7,3,raucous call,0.0,15
19,Yellow breasted Chat,8,8,small beak,0.0,15
19,Yellow breasted Chat,9,1,wingspan of up to 3 5 feet,0.0,15
19,Yellow breasted Chat,10,4,fast erratic flight patterns,0.0,15
