source,target,value
red crest on the head,Cardinal,1.8630351954036288
black beak,Cardinal,0.2718140251106686
yellow bill,Cardinal,0.0
raucous call,Cardinal,0.0
small beak,Cardinal,0.0
wingspan of up to 3 5 feet,Cardinal,0.0
gray body with black spots,Spotted Catbird,5.582880544662475
small rounded body,Spotted Catbird,3.830033564567566
gray upperparts,Spotted Catbird,1.2509695847829183
black wings with white stripes,Spotted Catbird,0.13179412285486858
iridescent green plumage,Spotted Catbird,0.11053821568687756
bright green back,Spotted Catbird,0.07455191686749459
long tail,Spotted Catbird,0.0466398594280084
large black spider,Spotted Catbird,0.026769907772541048
black streaks on the wings,Spotted Catbird,0.002298615829204209
yellow bill,Spotted Catbird,0.0
small mouth,Gray Catbird,4.345724031842988
long flowing tail,Gray Catbird,3.3640462530070336
gray feathers,Gray Catbird,1.7224016682855015
black cap,Gray Catbird,0.9881956787972614
gray plumage,Gray Catbird,0.5962883460110632
small round body,Gray Catbird,0.10246948987759393
yellow eyes,Gray Catbird,0.08554585547796612
yellow bill,Gray Catbird,0.0
raucous call,Gray Catbird,0.0
small beak,Gray Catbird,0.0
black patch on the back,Yellow breasted Chat,3.5331706841786703
black tail,Yellow breasted Chat,1.952844206492106
black throat,Yellow breasted Chat,1.2797832449277242
black head,Yellow breasted Chat,1.2389372448126474
orange legs,Yellow breasted Chat,1.0167558193206787
yellow throat and breast,Yellow breasted Chat,0.5956233749787013
yellow breast,Yellow breasted Chat,0.5546942214171092
white throat,Yellow breasted Chat,0.45048744082450864
greenish yellow back and wings,Yellow breasted Chat,0.34446393251419066
olive green back,Yellow breasted Chat,0.21373547116915384
